Q1_res,Q1_cat,user_id,Total (MB),Downlink (Kbps),Uplink (Kbps),Downlink TCP Rate(%),Video Download (Kbps),Video Delay (ms),Web Download (Kbps),Web TCP RTT(ms),Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_all,outliers,LogisticRegression,RandomForest,GaussianNB,KNeighborsClassifier,AdaBoostClassifier,threshold,Q1_new,new_cls,STD Downlink (Kbps),STD Uplink (Kbps),STD Downlink TCP Rate(%),STD Video Download (Kbps),STD Video Delay (ms),STD Web Download (Kbps),STD Web TCP RTT(ms)
4,0,1621,778.9205400000001,1093.43,191.77,1.66,2018.97,2338,1213.5,292,1,0,0,1,0,0,0,2,0,False,False,False,False,False,0.5,0,0,0.08594865217121461,0.1924476278336944,0.1470860314523589,0.07290748087368944,0.22516632255104382,0.10799232173257595,0.17772367620206939
7,0,2468,160.11502,3614.67,314.25,1.85,10313.57,1242,4667.55,76,0,0,1,0,0,0,0,1,0,False,False,True,False,False,0.5,0,0,0.28656261090007495,0.3194054294984089,0.1646623496762257,0.3724356516017856,0.09944941500344115,0.4153766471387597,0.04625684723067559
1,0,3013,632.65858,3768.19,144.04,0.63,14900.86,893,2573.53,65,0,0,0,0,0,0,0,0,0,False,False,True,True,True,0.5,1,1,0.2987781298288777,0.1429726451960652,0.05180388529139686,0.5380883150574421,0.059417297545308556,0.2290247051903059,0.03956177723676202
5,0,1528,547.5484,4514.25,226.21,2.53,5402.04,1312,1412.25,97,1,0,0,0,0,0,0,1,0,False,False,False,False,False,0.5,0,0,0.35814179613960323,0.22814673535600632,0.22756706753006475,0.19507428440190058,0.10747877953659096,0.12567956849347375,0.05903834449178332
1,0,648,209.89647000000002,1418.95,134.62,1.24,11637.29,792,1183.63,75,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0.5,0,0,0.11185013550696156,0.13320825515947465,0.10823311748381127,0.4202368029720983,0.04783207157604955,0.10533411765334065,0.04564820450395618
3,0,1665,205.89168,2584.72,550.93,1.01,1506.99,791,1636.39,47,0,0,0,0,0,0,0,0,0,False,False,True,False,True,0.5,0,0,0.20460994205744604,0.564738320566376,0.08695652173913043,0.05441925566097626,0.04771736636843313,0.14562633321793983,0.028606208155812538
2,0,777,674.9777799999999,1531.55,107.11,1.03,6904.88,2138,658.96,56,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0.5,0,0,0.12080966801987966,0.10469250463860355,0.08880666049953746,0.24934367847720407,0.20222528102775866,0.058642455977666465,0.03408399269628728
8,0,3078,559.77773,664.47,72.13,1.39,4027.93,2770,1983.58,111,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0.5,0,0,0.051816493496779824,0.06843365501228323,0.12210915818686399,0.14545348838049096,0.27471897224133973,0.17652361725776924,0.06755934266585514
1,0,1177,640.04408,836.52,100.63,0.93,7009.66,1339,745.9,88,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0.5,0,0,0.0655064363817493,0.09797559939050304,0.07955596669750231,0.2531274126812513,0.11057582014223445,0.06637945840982974,0.05356055995130858
8,0,2629,365.05279,8493.51,685.89,0.07,20381.88,1387,2448.44,55,0,0,0,0,0,0,0,0,0,False,True,True,False,True,0.5,1,1,0.6747697654766774,0.7046323841903952,0.0,0.7360146640464361,0.1160816701078229,0.21789264130441555,0.033475349969567865
